"AddClass";"Subscribe a class"
"AddCSVUsers";"Add a user list"
"AddCSVUsersInClass";"Add a user list in class"
"_add_user_list";"Add user list"
"AgendaNextEvents";"Agenda next events"
"AllUsersOfThisCourse";"Course members"
"_already_enrolled";"Already enroled"
"AltMakeNotBlocking";"Unblock"
"Archive";"archive"
"AreCompulsory";"are compulsory"
"AreYouSureToRemove";"Are you sure you want to remove the following module from the learning path : "
"AreYouSureToRemoveLabel";"By deleting a label you will delete all modules or label it contains."
"AreYouSureToRemoveSCORM";"SCORM conformant modules are definitively removed from server when deleted in their learning path."
"AreYouSureToRemoveStd";"The module will still be available in the pool of modules."
"_are_you_sure_to_remove_the_course_from_your_list";"Are you sure you want to remove this course from your list ?"
"AuthenticationRequired";"Authentication Required"
"author";"Author"
"BackToAdmin";"Back to administration page"
"BackToClass";"Back to the class"
"BackToClassList";"Back to class list"
"BackToCourseList";"Back to course list"
"BackToList";"Back to list"
"_back_to_my_personnal_course_list";"Back to my personal course list"
"_back_to_parent_category";"Back to parent category"
"BackToUserList";"Back to user list"
"BackToUserSettings";"Back to user settings"
"BackToUsersList";"Back to user list"
"body";"Message body"
"CannotRemoveGroupForum";"You can't remove a group forum. You have to remove the group first"
"CannotUnsubscribeLastCourseManager";"You cannot unsubscribe the last course manager of the course"
"catcreated";"The new category has been created."
"CategoryDeleted";"Category deleted"
"CategoryUpdated";"Category updated"
"ChangedTool";"Tool accesses changed"
"ChooseACourseToAccessThisPage";"Choose a course to access this page."
"Class";"Classes"
"CodeCanBeEmpty";"Course code needed"
"ConfirmEmptyForum";"Delete all messages of "
"ConfirmEnrollClassToCourse";"Are you sure you want to enrol the whole class on the course ?"
"ConfTip";"Course settings tip"
"CourseAccess";"Course access"
"CourseAdministratorOnly";"Course administrator only"
"_course_enrollment";"User's course"
"CourseList";"Course list"
"CourseManagerCannotUnsubscribeHimself";"Course manager cannot unsubscribe himself"
"CourseManager";"Course manager"
"CourseTitle";"Course title"
"CreateCategory";"Create category"
"CreateForum";"Create forum"
"CreateLabel";"Create label"
"CreateNewLearningPath";"Create a new learning path"
"CreateSite";"Create a course website"
"CreateUserAccount";"Create user account"
"CreatingCourse";"Creating course (it may take a while) ... "
"CSVSeeUserList";"See user list"
"DefineHeadings";"Define Headings"
"DelCourse";"Delete the whole course website"
"DeletedExternalTool";"External tool deleted"
"deleted";"Your message has been deleted"
"DeleteMyAccount";"Delete my account"
"DepartmentUrl";"Department URL"
"DepartmentUrlName";"Department"
"DocumentAsModule";"Use a document"
"_do_you_want_to_continue";"Do you want to continue?"
"EditCategory";"Edit category"
"EditFormat";"Edit format to use"
"EditPost";"Edit post"
"EditTextZone";"Edit text zone"
"EditToolList";"Edit Tool list"
"EmailAddressNotFound";"There is no user account with this email address."
"emptymsg";"You cannot post an empty message"
"Enroll as student";"Enrol as student"
"EnrollAsTeacher";"Enrol as teacher"
"EnrollClass";"Enrol class"
"EnrollmentKey";"enrolment key"
"EnterMail";"Enter your email so we can send you your password."
