"AllUsersOfThisCourse";"Course members"
"_already_enrolled";"Already enroled"
"_are_you_sure_to_remove_the_course_from_your_list";"Are you sure you want to remove this course from your list ?"
"author";"Author"
"BackToAdmin";"Back to administration page"
"BackToClass";"Back to the class"
"BackToCourseList";"Back to course list"
"BackToList";"Back to list"
"_back_to_my_personnal_course_list";"Back to my personal course list"
"_back_to_parent_category";"Back to parent category"
"BackToUserSettings";"Back to user settings"
"body";"Message body"
"CannotRemoveGroupForum";"You can't remove a group forum. You have to remove the group first"
"CannotUnsubscribeLastCourseManager";"You cannot unsubscribe the last course manager of the course"
"catcreated";"The new category has been created."
"CategoryDeleted";"Category deleted"
"CategoryUpdated";"Category updated"
"ChangedTool";"Tool accesses changed"
"CodeCanBeEmpty";"Course code needed"
"ConfirmEmptyForum";"Delete all messages of "
"ConfTip";"Course settings tip"
"CourseAccess";"Course access";
"_course_enrollment";"User's course"
"CourseList";"Course list"
"CourseManagerCannotUnsubscribeHimself";"Course manager cannot unsubscribe himself"
"CourseTitle";"Course title"
"CreateCategory";"Create category"
"CreateForum";"Create forum"
"CreateSite";"Create a course website"
"CreatingCourse";"Creating course (it may take a while) ... ";
"DelCourse";"Delete the whole course website"
"DeletedExternalTool";"External tool deleted"
"deleted";"Your message has been deleted"
"DepartmentUrl";"Department URL"
"DepartmentUrlName";"Department"
"EditCategory";"Edit category"
"EditPost";"Edit post"
"EditToolList";"Edit Tool list"
"emptymsg";"You cannot post an empty message"
"Enroll as student";"Enrol as student"
"EnrollAsTeacher";"Enrol as teacher"
"EnrollClass";"Enrol class"
"EnrollmentKey";"enrolment key"
"ErrorDepartmentURLWrong";"Department URL is invalid";
"Ex";"e.g. <em>History of Literature</em>";
"ExternalToolName";"Name link"
"ExternalToolUrl";"URL link"
"ForumCreated";"Forum created"
"ForumDeleted";"Forum deleted"
"ForumEmptied";"Forum emptied"
"ForumUpdated";"Forum updated"
"GroupChatLink";"Chat of the group"
"GroupDocumentsLink";"Documents of the group"
"GroupSpace";"Group area"
"GroupWikiLink";"Wiki of the group"
"Home";"Back to Home page"
"indextitle";"Forum index"
"IntroEditToolList";"Course Tools Edit Introduction"
"JustCreated";"You have just created the course website";
"LabelCanBeEmpty";"Course title needed"
"LastMsg";"Last message"
"LegendRequiredFields";"<span class=\"required\">*</span> denotes required field"
"MaxSizeCourseCode';"max. 12 characters, e.g. <em>ROM2121</em>"
"MissingFields";"Missing field(s)"
"MissingValue";"Missing value"
"ModifDone";"The information has been modified";
"MoveDown";"Move down"
"MoveUp";"Move up"
"MyGroup";"My group"
"_my_personnal_course_list";"My personal course list"
"NewTopic";"New topic"
"_no_course_available_fitting_this_keyword";"No course available fitting this keyword"
"NoForum";"No forum"
"NoPostAllowed";"No new post allowed"
"NoPost";"No post"
"NoResult";"No result"
"notify";"Notify by email when replies are posted"
"notifysubj";"A reply to your topic has been posted"
"notopics";"There are no topics for this forum. You can post one"
"NotSaved";"Unable to save";
"OneMyGroups";"My supervision"
"_or_search_from_keyword";"Search from keyword"
"posted","Posted"
"poster";"Author"
"PostReply";"Post reply"
"posts";"Posts"
"PrivateAccess";"Private access (site accessible only to people on the <a href=../user/user.php>User list</a>)"
"Professors";"Lecturer(s)"
"PublicAccess";"Public access from campus home page even without login";
"_remove_course_from_your_personnal_course_list";"Remove course from your personal course list"
"SearchResult";"Search result"
"_select_course_in_search_results";"Select course in search results"
"_select_course_in";"Select course in "
"stored";"Your message has been entered"
"subject";"Subject"
"Subscription";"Enrolment"
"Subscription";"Enrolment"
"TargetFac";"This is the faculty, department or school where the course is delivered"
"_TheUserIsAlreadyEnrolledInTheCourse";"The user is already enroled in this course"
"topicreview";"Topic review"
"topics";"Topics"
"UnableAddExternalTool";"Unable to add external tool"
"UnableChangedTool";"Unable to change tool access"
"UnableCreateCategory";"Unable to create category"
"UnableCreateForum";"Unable to create forum"
"UnableDeleteCategory";"Unable to delete category"
"UnableDeleteExternalTool";"Unable to delete external tool"
"UnableDeleteForum";"Unable to delete Forum"
"UnableDeleteGroupCategoryForum";"Group forums category can't be deleted"
"UnableToEmptyForum";"Unable to empty forum"
"UnableToEnrollInCourse";"Unable to enrol you to the course"
"UnableToRemoveCourseRegistration";"Unable to remove your registration to the course"
"UnableToUpdateCategory";"Unable to update category"
"UnableToUpdateForum";"Unable to update forum"
"UnableUpdateExternalTool";"Unable to update external tool"
"_unsubscribe";"Unsubscribe"
"UpdatedExternalTool";"External tool updated"
"_user_has_been_enrolled_to_the_course";"The user has been enroled to the course"
"_you_have_been_enrolled_to_the_course";"You've been enroled on the course"
"_your_enrollment_to_the_course_has_been_removed";"Your enrolment on the course has been removed"
